"","infected.mean","infected.sd","prop_infected","conformist.informed.mean","conformist.informed.sd","conformist.prop_informed","bhs","modularity","qrel","avg_module_size","clustering","mean_degree","sd_degree","avg_path_length","chosenu","r_infected_mean","r_infected_sd","r_informed_mean","r_informed_sd","r_bhs"
"macaca_assamensis_grooming_griffin_1",3.22,2.39293176855914,0.169473684210526,19,0,1,Inf,0.18233952269688,0.333363381569243,6.33333333333333,0.814814814814815,13.5789473684211,2.9498736220328,0.214740883501169,0.999933893038648,2.68,1.89994629354815,19,0,Inf
"macaca_fuscata_grooming_griffin_1",1.72,1.01096034359738,0.0819047619047619,2.5,3.34572526532296,0.119047619047619,0.307955217166202,0.508622898114976,0.644701831382579,4.2,0.339779005524862,5.71428571428571,2.81323403119714,0.515186710276191,0.141707230424338,1.72,1.03094963158107,2.3,2.14998813475606,0.139190078848657
"macaca_mulatta_grooming_griffin_1",2.38,1.89402928667313,0.14875,3.28,3.82814496558725,0.205,0.125848173909524,0.218639910326205,0.393086647288603,5.33333333333333,0.682442748091603,9.125,2.87228132326901,0.3212227414075,0.174721598488871,2.26,1.65134453567697,2.48,2.16879539592553,0.0199780757838609
"macaca_radiata_grooming_griffin_1",2.32,1.43484337479883,0.145,2.4,2.1570955529345,0.15,0.0406919356832739,0.258301085518093,0.416683232605319,4,0.774089935760171,11.125,2.09364116632563,0.473512585758334,0.151617499173404,3.22,2.47674902125462,2.26,1.22574425537787,0.144833911862668
"macaca_tonikeana_association_griffin_1",3.52,2.62826085121717,0.1408,3.26,3.28142577274587,0.1304,0.0131723890367379,0.253823632566339,0.431977701733741,6.25,0.625298329355609,14.48,2.48529005684783,0.582408478136669,0.145898033750315,3.56,2.83678461268661,2.88,1.56021976474012,0.0955184938938786
"macaque_association_weighted_3",2.28,1.70281879151444,0.114,1.92,0.965528299926617,0.096,0.0849514494180708,0.539823572243864,0.931617399286481,5,0.574728260869565,8.6,2.94511191816649,0.433873684210527,0.0637896569712064,2.16,1.21822889173302,2.18,1.39518121125712,0.00461373855837023
"mouse_social_projection_bipartite_weighted_1",5.96,5.45467408630022,0.0212857142857143,6.22,6.84311064248607,0.0222142857142857,0.0129680858733881,0.871659559812657,0.995610500466683,23.7272727272727,0.863811101905551,19.9428571428572,7.31353282735469,7.2881440426967,0.23258465067646,6.68,5.3316153695648,6.34,5.05322689385865,0.00125419550450393
"pan_paniscus_groominh_griffin_1",1.46,1.05385589380046,0.0768421052631579,19,0,1,Inf,0.407551871788434,0.643079876589244,4.75,0.387417218543046,5.78947368421053,2.07039844175037,0.695825440935672,0.999933893038648,2,1.29362644830535,19,0,Inf
"pan_troglodytes_grooming_griffin_1",2.26,1.72390160238161,0.0941666666666667,24,0,1,Inf,0.274541135584995,0.434649349831383,6,0.583018867924528,8.58333333333333,4.92479676620323,0.915007201043478,0.999933893038648,2.12,1.47965798585418,24,0,Inf
"papio_papio_grooming_griffin_1",1.98,1.31692282017046,0.0792,1.88,1.96541525964798,0.0752,0.0395005132340721,0.571878688958269,0.838941841992571,5,0.411917098445596,7.76,3.11287648325468,0.639006630000003,0.0714589025412405,2.08,1.32233559604642,1.8,1.1780301787479,0.00958023541851896
"raccoon_proximity_weighted_4",1.48,0.788695642390986,0.0778947368421053,2.32,1.46301338451338,0.122105263157895,0.153779848059235,0.489531838283048,2.14453848360422,4.75,0.624,5.05263157894737,2.48268860110536,160.771929824561,0.0721534844768625,1.62,1.00792775899215,1.86,1.30946320206068,0.0222059854978177
"rhesusmacaque_aggression_weighted_balasubramaniam_2",32.02,16.7252589132212,0.372325581395349,86,0,1,Inf,0.136181562336227,0.204582444497385,17.2,0.544247601708564,39.4186046511628,12.1611387975644,1.77482900136799,0.999933893038648,28.84,17.4184513944148,86,0,Inf
"rhesusmacaque_association_weighted_1",8.7,5.36523198806112,0.310714285714286,28,0,1,Inf,0.213560060944786,0.322246877675615,9.33333333333333,1,27,0,25.1640211640212,0.999933893038648,9,5.76052718675884,28,0,Inf
"rhesusmacaque_dominance_weighted_1",18.66,14.0561701173309,0.300967741935484,62,0,1,Inf,0.185569614915946,0.278653969774913,20.6666666666667,0.659941974225761,37.6451612903226,7.46158857562648,1.7181385510312,0.999933893038648,20.96,10.8589472184866,62,0,Inf
"rhesusmacaque_grooming_weighted_balasubramaniam_3",4.1,3.53553390593274,0.0476744186046512,3.42,2.33071767873314,0.0397674418604651,0.0486528597873855,0.427377594548323,0.527197981846431,9.55555555555556,0.297350113343235,16.4883720930233,6.52910981419368,2.24897400820793,0.137767414994532,4.38,3.47521838984874,3.44,2.45082243588655,0.0421061149371364
"rhesusmacaque_huddeling_weighted_balasubramaniam_2",2.26,1.78211064958014,0.028974358974359,2.26,1.54932506700992,0.028974358974359,0.00488261784670309,0.548332189933703,0.653911679920938,9.75,0.206962631747046,8.76923076923077,3.50851682476945,2.71761571761572,0.0905000231764813,2.44,1.89693630545118,2.34,1.7912485669419,0.00118842502538327
"sealion_proximity_weighted_1",988.58,64.1932954729189,0.981708043694141,1007,0,1,Inf,0.389145183367777,0.585613001023875,335.666666666667,0.593866281392997,260.875868917577,137.495148960567,0.0202554484416939,0.999933893038648,1007,0,1007,0,NA
"sheep_dominance_weighted_1",4.76,3.49670398740159,0.17,28,0,1,Inf,0.146927920104212,0.24330249916588,7,0.727788746298124,16.7857142857143,5.0358503114954,1.95238095238095,0.999933893038648,4.48,3.60973739787712,28,0,Inf
"spidermonkeys_contact_weighted_1",2.02,1.63494991497899,0.118823529411765,17,0,1,Inf,0.271289510742592,0.411044713246351,4.25,0.7171875,8.47058823529412,4.24437343813583,15.8823529411765,0.999933893038648,2.04,1.19454542630668,17,0,Inf
"voles_social_projection_bipartite_weighted_257",1.2,0.451753951452626,0.0230769230769231,3.38,2.24871845589383,0.065,0.701537552059697,0.503357438016529,0.725074404761905,4.5,0.481751824817518,2.5,1.2445961625536,3.85774058577406,0.136383336897932,1.34,0.557325977232319,3,1.95875845725744,0.48691408926862
"zebra_groupmembership_weighted_1",2.2,1.22890360957752,0.0814814814814815,2.02,1.13371342165866,0.0748148148148148,0.00452080067079598,0.203219954648526,0.767369808961403,7.66666666666667,0.844765342960289,8.22222222222222,4.85428702943105,1.84169884169884,0.0901699437494742,2.26,1.46816559150582,2.04,0.988918188564388,0.0419233286019708
"desert_tortoise_asynchronous_burrow_sharing_unweighted_3",1,0,0.00632911392405063,1.14,0.606428150765461,0.00721518987341772,Inf,0,NA,5,1,0.215189873417722,0.743050796387062,1,0.381925315454201,1.08,0.340467865366085,1.14,0.404565778814465,0.010620890586386
"lizard_proximity_weighted_1",2.9,2.07265973264956,0.0483333333333333,2.8,2.33867222053499,0.0466666666666667,0.00389236511766524,0.805449755210687,0.979487331346028,4.28571428571429,0.535356347438753,10.6,4.27527380429545,0.00400065244429377,0.162290940793643,2.56,2.12045432174623,2.52,1.61927169317769,0.018018377103291
