"","infected.mean","infected.sd","prop_infected","conformist.informed.mean","conformist.informed.sd","conformist.prop_informed","bhs","modularity","qrel","avg_module_size","clustering","mean_degree","sd_degree","avg_path_length","chosenu","r_infected_mean","r_infected_sd","r_informed_mean","r_informed_sd","r_bhs"
"dolphin_proximity_unweighted_1",3.82,3.3116368725315,0.0616129032258064,4.22,6.74700235781243,0.0680645161290322,0.117886845424976,0.52772833353111,0.790812308401497,12.4,0.308775731310943,5.12903225806452,2.95587146156646,3.35695399259651,0.381354921219546,3.74,3.81088666098287,2.28,1.92767174782091,0.137331901146789
"elephantseal_dominance_weighted_1",1.96,1.42799988566855,0.0392,2.98,2.59111511728453,0.0596,0.113661917622115,0.574776785714286,0.809153358278698,7.66666666666667,0.0608108108108108,2.32,1.70760603399816,4.07810993249759,0.0768091295280433,1.88,1.25584348433348,2.98,2.53538227202647,0.152190205578129
"erythrocebus_patas_grooming_griffin_1",2.88,1.97577161367091,0.151578947368421,2.78,3.64378139535605,0.146315789473684,0.08847813670157,0.334358262248762,0.912971748542885,9.5,0.433460076045627,5.1578947368421,2.56608560294419,1.1320731405269,0.326237921249264,4.52,2.81569942737255,2.64,3.33662422584411,0.0535252283245431
"groundsquirrel_association_weighted_4",52.22,12.276225571637,0.856065573770492,55.24,17.522650065162,0.905573770491803,0.0359885786827879,0.287656927040506,0.397862401117822,12.2,0.684556065027095,27.672131147541,14.4645789332371,0.0754983606557376,0.757715389879587,56.72,5.69296020698963,58.34,10.6591150990069,0.096990707705449
"humpbackdolphin_proximity_weighted_1",49.66,0.62629457762237,0.9932,49.1,6.36396103067893,0.982,0.819455590665597,0.499777120803654,0.825299318951819,16.6666666666667,0.853477095443183,36.04,8.16153246914438,0.00163121392163279,0.741338373646285,49.4,1.97948663722158,49.12,6.22253967444162,0.274755500472188
"hyenas_groupmembership_weighted_2",35.66,0.717421687399412,0.990555555555555,34.62,6.82997594641235,0.961666666666667,0.791352507422943,0.137827381896085,0.526354418286486,18,0.96117590669436,32.5,4.46894043050795,0.0258008251930159,0.763303381908985,35.2,2.57142857142857,34.88,5.44973318949971,0.13018916834194
"japanesemonkey_dominance_weighted_1",61.6,1.59078981795143,0.993548387096774,62,0,1,Inf,0.178545503222966,0.27219671961638,20.6666666666667,0.659941974225761,37.6451612903226,7.46158857562648,1.70967741935484,0.768712704125172,61.58,2.13894881678275,61.26,4.95205585013509,0.159581559363573
"kangaroo_proximity_weighted_1",9.06,4.36783232092001,0.532941176470588,8.5,7.37411357523114,0.5,0.0667124065105653,0.118985471958445,0.226728222157037,5.66666666666667,0.840594059405941,10.7058823529412,3.98065173499191,2.22058823529412,0.549962731110361,8.26,4.30381890219107,8.8,7.45051703451731,0.0727739003192014
"killerwhale_proximity_weighted_1",12.7,8.31337746634658,0.295348837209302,12.84,15.5541975435729,0.298604651162791,0.0923132027798174,0.393208160388441,0.607621084951975,10.75,0.50452302631579,10.5116279069767,3.66691834432737,2.12735326688815,0.579334034275188,12.14,7.98470476624413,13.74,16.9534897978714,0.131892328160235
"macaca_artoides_grooming_griffin_1",9.68,5.02418639976582,0.509473684210526,8.96,8.27575756443518,0.471578947368421,0.0612245180411952,0.272030709399063,0.438904696054858,4.75,0.689863842662632,12,2.74873708374511,0.394303515698831,0.583981609973582,10.3,4.97032007346137,9.14,8.52609439979911,0.0729771757574164
"macaca_assamensis_grooming_griffin_1",11.98,5.46786530744935,0.630526315789474,13.54,7.75705077556502,0.712631578947368,0.0367261296399273,0.203842084307402,0.320086524951925,6.33333333333333,0.814814814814815,13.5789473684211,2.9498736220328,0.214740883501169,0.618199152393386,12.56,4.76877599492741,11.1,8.33299319033708,0.0799228911898568
"macaca_fuscata_grooming_griffin_1",4.6,2.84282124887606,0.219047619047619,4.5,5.78615518602247,0.214285714285714,0.116937884572301,0.505151116766015,0.737316529017063,3.5,0.339779005524862,5.71428571428571,2.81323403119714,0.515186710276191,0.405228564481659,4.48,3.09205697336427,2.74,3.26271453278539,0.038180136133188
"macaca_mulatta_grooming_griffin_1",8.54,4.13649758187986,0.53375,6.28,6.45246353839258,0.3925,0.0696092000188702,0.217499587542249,0.416311322324657,5.33333333333333,0.682442748091603,9.125,2.87228132326901,0.3212227414075,0.507034134939863,7.16,3.83517554077665,5.68,5.79387431619264,0.0527442838771563
"macaca_radiata_grooming_griffin_1",8.78,3.58164253734318,0.54875,6.9,6.28327874892836,0.43125,0.0920343417160827,0.258301085518093,0.416683232605319,4,0.774089935760171,11.125,2.09364116632563,0.473512585758334,0.540337922741171,9.2,4.64230765979198,6.5,6.51920240520265,0.0567384582636952
"macaca_tonikeana_association_griffin_1",14.46,6.88153400079384,0.5784,15.52,10.7953882821909,0.6208,0.0507757812599851,0.253823632566339,0.431977701733741,6.25,0.625298329355609,14.48,2.48529005684783,0.582408478136669,0.62657694797553,16.16,6.13574338925411,14.96,10.638704846753,0.0745728731668243
"macaque_association_weighted_1",9.38,4.41652740121855,0.521111111111111,7.82,7.78719514095193,0.434444444444444,0.0840260600914309,0.256117036651636,0.342265494434459,3,0.647352647352647,10.7777777777778,2.48656520846482,2.33333333333333,0.540241421521823,8.52,4.50505385140751,5.7,6.58461410085229,0.0664127014597515
"mouse_social_projection_bipartite_weighted_1",31.22,15.8980039820175,0.1115,36.34,21.3919782791091,0.129785714285714,0.0309355669348864,0.871659559812657,0.995610500466683,23.7272727272727,0.863811101905551,19.9428571428572,7.31353282735469,7.2881440426967,0.729089232230723,112.34,55.7467341406377,120.22,110.857012150144,0.110867810412524
"pan_paniscus_groominh_griffin_1",4.04,2.56316131337209,0.212631578947368,5.08,6.44550151624514,0.267368421052632,0.193524012459404,0.407551871788434,0.643079876589245,4.75,0.387417218543046,5.78947368421053,2.07039844175037,0.695825440935672,0.42403923979394,4.9,3.29036937322315,4.16,5.95342467039959,0.0861466100403017
"pan_troglodytes_grooming_griffin_1",8.92,5.71728492719888,0.371666666666667,4.8,6.82432623571211,0.2,0.0613327305823371,0.274541135584995,0.434649349831383,6,0.583018867924528,8.58333333333333,4.92479676620323,0.915007201043478,0.381737817118634,6.62,3.62468858620141,2.72,3.41090687563963,0.154419165576524
"papio_papio_grooming_griffin_1",6.72,5.19041502803632,0.2688,6.08,8.90961416054567,0.2432,0.0706516116114601,0.571878688958269,0.838941841992571,5,0.411917098445596,7.76,3.11287648325468,0.639006630000003,0.45591771730777,6.5,4.55913525635227,4.68,6.61303598190416,0.0466454973495156
"raccoon_proximity_weighted_5",3.96,2.74761492118201,0.208421052631579,2.98,3.77688998505168,0.156842105263158,0.035898415257167,0.181247018126041,0.562473967660948,6.33333333333333,0.616666666666667,6,2.88675134594813,192.140350877193,0.219738629030816,4.06,2.84576305179099,1.92,1.20948631362953,0.284014900891998
"rhesusmacaque_aggression_weighted_balasubramaniam_3",74.76,15.2148692041029,0.946329113924051,78,0,0.987341772151899,Inf,0.165225331684541,0.232891536266007,15.6,0.623327305605787,43.3670886075949,11.1460895927674,1.74625374625375,0.76393202250021,78.9,0.462910049886276,78.98,0.14142135623731,0.297765735996931
